,Unnamed: 0,country,dollar_price
0,1296,Venezuela,0.0
3,147,Saudi Arabia,0.8
4,56,Argentina,0.83
5,80,South Africa,0.97
6,159,Uruguay,1.03
7,1343,Oman,1.05
8,1404,Kuwait,1.05
20,45,Philippines,1.18
21,1302,Bahrain,1.2
25,11,Hungary,1.22
26,54,Thailand,1.22
27,95,China,1.24
30,47,Russia,1.25
36,957,Ukraine,1.27
47,40,Indonesia,1.35
49,18,Poland,1.38
50,7,Czech Republic,1.39
51,66,Hong Kong,1.4
57,151,Sri Lanka,1.41
76,15,Malaysia,1.51
78,91,Brazil,1.52
80,760,India,1.53
81,1143,Egypt,1.53
113,1766,Lebanon,1.68
116,17,New Zealand,1.7
169,164,Britain,1.88
185,1869,Turkey,1.92
188,142,Pakistan,1.93
193,1403,Jordan,1.95
195,94,Chile,1.96
214,70,Japan,2.02
217,643,Estonia,2.04
221,116,Taiwan,2.06
261,324,Costa Rica,2.18
263,139,Mexico,2.18
289,27,United States,2.24
296,50,South Korea,2.26
312,1355,Slovenia,2.3
337,1494,Romania,2.33
360,1410,Moldova,2.35
361,128,Colombia,2.35
390,51,Sweden,2.4
476,9,Euro area,2.56
495,1,Australia,2.59
505,757,Greece,2.6
516,107,Peru,2.63
524,1241,Vietnam,2.64
576,1333,Latvia,2.7
625,1335,Lithuania,2.8
659,4,Canada,2.85
691,612,Portugal,2.9
723,654,Israel,2.98
733,270,UAE,3.0
747,1354,Slovakia,3.0
800,36,Denmark,3.09
801,577,Austria,3.09
850,20,Singapore,3.2
873,1413,Nicaragua,3.22
876,550,Netherlands,3.25
979,538,Germany,3.4
1016,817,Ireland,3.46
1033,1117,Spain,3.5
1034,537,France,3.5
1040,546,Italy,3.5
1046,1311,Croatia,3.5
1080,1394,Honduras,3.54
1084,1393,Guatemala,3.57
1181,852,Belgium,3.7
1207,645,Finland,3.75
1297,1661,Azerbaijan,3.95
1328,1349,Qatar,4.0
1517,74,Norway,4.38
1594,1438,United Arab Emirates,4.67
1797,24,Switzerland,5.9
