,name,price,brand
24,2012 Ford F-150,12499.0,Ford
19,2013 Ford Edge,15988.0,Ford
28,2017 Ford Edge,25913.0,Ford
16,2016 Ford F-150,25998.0,Ford
12,2017 Ford Explorer,26071.0,Ford
26,2015 Ford Expedition,26800.0,Ford
13,2019 Ford Fusion,26995.0,Ford
2,2020 Ford Edge,27425.0,Ford
22,2019 Ford F-150,27550.0,Ford
4,2019 Ford Explorer,28995.0,Ford
18,2011 Ford Super Duty F-350,29000.0,Ford
7,2018 Ford Edge,29958.0,Ford
8,2015 Ford F-150,32990.0,Ford
14,2015 Ford F-150,32991.0,Ford
25,2018 Ford F-150,33000.0,Ford
0,2014 Ford F-150,33000.0,Ford
21,2019 Ford Edge,34499.0,Ford
9,2018 Ford F-150,34888.0,Ford
1,2017 Ford F-150,37779.0,Ford
5,2020 Ford Explorer,38676.0,Ford
6,2018 Ford F-150,38900.0,Ford
17,2020 Ford F-150,39989.0,Ford
15,2019 Ford Explorer,40988.0,Ford
20,2018 Ford F-150,40990.0,Ford
10,2018 Ford Expedition,43986.0,Ford
27,2019 Ford F-150,43998.0,Ford
3,2019 Ford Super Duty F-350,59975.0,Ford
23,2020 Ford Expedition,62797.0,Ford
11,2021 Ford Mustang,66995.0,Ford
